Economy,Indicator,2017,2018,2019,2020,2021,2022,2023
Tokelau,At least 5G,,,,,0.00,,
Tonga,At least 2G,0.98,0.98,0.99,0.99,0.99,,
Tonga,At least 3G,0.95,0.96,0.99,0.99,0.99,,
Tonga,At least LTE/WiMAX,0.65,,0.96,0.96,0.96,,
Tonga,At least 5G,,,,,0.00,,
Trinidad and Tobago,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Trinidad and Tobago,At least 3G,0.75,1.00,1.00,1.00,1.00,1.00,
Trinidad and Tobago,At least LTE/WiMAX,0.75,0.75,0.75,0.75,0.75,0.94,
Trinidad and Tobago,At least 5G,,,,0.00,0.00,,
Tunisia,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Tunisia,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Tunisia,At least LTE/WiMAX,0.87,0.96,0.94,0.95,0.95,0.95,
Tunisia,At least 5G,,,,,0.00,,
Turkmenistan,At least 2G,0.96,0.97,0.97,0.98,0.98,0.98,
Turkmenistan,At least 3G,0.76,,0.76,0.76,0.76,,
Turkmenistan,At least LTE/WiMAX,0.67,,0.67,0.67,0.67,,
Turkmenistan,At least 5G,,,,,0.00,,
Turks & Caicos Is.,At least 2G,,,0.98,0.98,0.98,,
Turks & Caicos Is.,At least 3G,,,0.95,0.95,0.95,,
Turks & Caicos Is.,At least LTE/WiMAX,,,0.95,0.95,0.95,,
Turks & Caicos Is.,At least 5G,,,,,0.00,,
Tuvalu,At least 2G,0.48,,0.48,0.50,0.50,,
Tuvalu,At least 3G,0.48,,0.48,0.48,0.48,,
Tuvalu,At least LTE/WiMAX,0.00,,,0.20,0.25,,
Tuvalu,At least 5G,,,,,0.00,,
Turkey,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Turkey,At least 3G,0.97,0.98,0.99,0.98,0.99,1.00,
Turkey,At least LTE/WiMAX,0.87,0.93,0.97,0.92,0.97,1.00,
Turkey,At least 5G,,,,,0.00,,
Uganda,At least 2G,0.93,0.98,0.98,0.98,0.98,0.98,
Uganda,At least 3G,0.65,0.70,0.74,0.85,0.85,0.85,
Uganda,At least LTE/WiMAX,0.17,,0.40,0.31,0.31,0.31,
Uganda,At least 5G,,,,,0.00,,
Ukraine,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Ukraine,At least 3G,0.90,,0.89,0.89,0.92,,
Ukraine,At least LTE/WiMAX,0.03,,0.78,0.87,0.92,,
Ukraine,At least 5G,,,,,0.00,,
United Arab Emirates,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
United Arab Emirates,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
United Arab Emirates,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
United Arab Emirates,At least 5G,,,,0.80,0.91,0.97,
United Kingdom,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
United Kingdom,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
United Kingdom,At least LTE/WiMAX,0.99,1.00,1.00,1.00,1.00,1.00,
United Kingdom,At least 5G,,,,,0.46,0.82,
United States of America,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
United States of America,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
United States of America,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
United States of America,At least 5G,,,,,0.94,0.97,
Uruguay,At least 2G,1.00,0.91,0.91,0.91,0.93,0.94,
Uruguay,At least 3G,0.91,0.91,0.91,0.92,0.92,0.94,
Uruguay,At least LTE/WiMAX,0.88,0.56,0.83,0.90,0.92,0.94,
Uruguay,At least 5G,,,,,,,
Uzbekistan,At least 2G,0.98,0.99,0.99,0.99,0.99,1.00,
Uzbekistan,At least 3G,0.75,0.76,0.81,0.90,0.95,0.96,
Uzbekistan,At least LTE/WiMAX,0.43,0.44,0.48,0.66,0.75,0.85,
Uzbekistan,At least 5G,,0.00,0.00,0.03,0.10,0.12,
Vanuatu,At least 2G,0.98,0.98,0.90,0.90,0.90,0.90,
Vanuatu,At least 3G,,0.69,0.70,0.70,0.70,0.70,
Vanuatu,At least LTE/WiMAX,0.33,0.33,0.50,0.70,0.70,0.70,
Vanuatu,At least 5G,,,,,0.00,0.00,
Vatican,At least 2G,,,,,,,
Vatican,At least 3G,,,,,,,
Vatican,At least LTE/WiMAX,,,,,,,
Vatican,At least 5G,,,,,0.00,,
Venezuela,At least 2G,0.96,0.91,0.92,0.92,0.92,0.92,
Venezuela,At least 3G,0.91,0.81,0.82,0.82,0.82,0.82,
Venezuela,At least LTE/WiMAX,0.82,0.64,0.65,0.65,0.65,0.65,
Venezuela,At least 5G,,,,,0.00,0.00,
Viet Nam,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Viet Nam,At least 3G,0.98,1.00,1.00,1.00,1.00,1.00,
Viet Nam,At least LTE/WiMAX,0.95,0.94,0.97,1.00,1.00,1.00,
Viet Nam,At least 5G,,,,,0.00,0.00,
US Virgin Islands,At least 2G,,,,,,,
US Virgin Islands,At least 3G,,,0.80,0.80,0.80,,
US Virgin Islands,At least LTE/WiMAX,,,0.71,0.71,0.71,,
US Virgin Islands,At least 5G,,,,,0.06,,
Wallis and Futuna,At least 2G,,,,,,,
Wallis and Futuna,At least 3G,,,0.14,0.14,0.14,,
Wallis and Futuna,At least LTE/WiMAX,,,,,0.10,,
Wallis and Futuna,At least 5G,,,,,0.00,,
Yemen,At least 2G,,,0.89,0.89,0.92,0.89,
Yemen,At least 3G,0.95,,0.95,0.95,0.62,0.74,
Yemen,At least LTE/WiMAX,0.00,,,,0.00,0.45,
Yemen,At least 5G,,,,,0.00,0.00,
Zambia,At least 2G,0.93,0.87,0.87,0.82,0.97,0.97,
Zambia,At least 3G,0.53,0.77,0.72,0.78,0.96,0.96,
Zambia,At least LTE/WiMAX,0.43,0.43,0.49,0.57,0.91,0.91,
Zambia,At least 5G,,,,,0.00,,
Zimbabwe,At least 2G,0.90,0.93,0.93,0.93,0.94,0.94,
Zimbabwe,At least 3G,0.78,0.84,0.84,0.84,0.84,0.84,
Zimbabwe,At least LTE/WiMAX,0.35,0.35,0.35,0.35,0.39,0.40,
Zimbabwe,At least 5G,,,,,,0.03,
